Key,Russian,English
base_upgrade_screen_title,Улучшения базы,Base upgrades
base_upgrade_screen_upgrades_button,Улучшения,Upgrades
base_upgrade_screen_skills_button,Навыки,Skills
base_upgrade_screen_cards_button,Карточки,Cards
food_generation,Производство продуктов питания,Food generation
base_health,Улучшение здоровья,Base health
skill_level,Уровень,Level
skill_arrow,Стрелы,Arrows
skill_Fab,Фаб,Fab
skill_smoke,Дым,Smoke
skill_potion,Зелье,Potion
skill_equip,Снарядить!,Equip!
skill_Equipped,Снаряжено,Equipped
skill_Upgrade,Улучшения,Upgrades
